region,sensitivity_type,CAPEX,H2_PRICE,EFFICIENCY,VOM,LIFETIME_HOURS,CAPACITY_MW,operating_hours,total_hours,utilisation_%,energy_consumed_mwh,h2_produced_kg,h2_produced_tonnes,electricity_cost_$,depreciation_cost_$,vom_cost_$,total_cost_$,lcoh_$/kg,lcoh_electricity_$/kg,lcoh_depreciation_$/kg,lcoh_vom_$/kg,avg_operating_price_$/mwh
QLD,CAPEX_H2_PRICE_grid,1000,6.0,51,5.5,75000,100,71221,105120,67.75209284627093,7122100,139649019.60784313,139649.01960784313,349009144.0,94961333.33333334,39171550.0,483142027.3333334,3.459687928279581,2.4991879282795804,0.68,0.2805,49.00368486822707
QLD,CAPEX_H2_PRICE_grid,1200,3.0,51,5.5,75000,100,25502,105120,24.259893455098936,2550200,50003921.568627454,50003.921568627455,22749059.0,40803200.0,14026100.0,77578359.0,1.5514454980001569,0.4549454980001568,0.816,0.28049999999999997,8.92049996078739
QLD,CAPEX_H2_PRICE_grid,1200,4.0,51,5.5,75000,100,34583,105120,32.898592085235926,3458300,67809803.92156863,67809.80392156863,69010852.0,55332800.0,19020650.0,143364302.0,2.114212012260359,1.0177120122603591,0.816,0.28049999999999997,19.95513749530116
QLD,CAPEX_H2_PRICE_grid,1200,5.0,51,5.5,75000,100,52848,105120,50.273972602739725,5284800,103623529.41176471,103623.52941176471,187307318.0,84556800.0,29066400.0,300930518.0,2.904075162352407,1.8075751623524068,0.816,0.28049999999999997,35.44265024220405
QLD,CAPEX_H2_PRICE_grid,1200,6.0,51,5.5,75000,100,69561,105120,66.17294520547945,6956100,136394117.6470588,136394.11764705883,332797892.0,111297600.0,38258550.0,482354042.0,3.5364724690559366,2.439972469055937,0.8160000000000001,0.2805,47.84259743246934
QLD,CAPEX_H2_PRICE_grid,1400,3.0,51,5.5,75000,100,24776,105120,23.569254185692543,2477600,48580392.15686274,48580.39215686274,20135757.0,46248533.333333336,13626800.0,80011090.33333334,1.6469832123829515,0.41448321238295127,0.9520000000000001,0.2805,8.127121811430417
QLD,CAPEX_H2_PRICE_grid,1400,4.0,51,5.5,75000,100,31990,105120,30.43188736681887,3199000,62725490.196078435,62725.490196078434,54642810.0,59714666.66666667,17594500.0,131951976.66666667,2.1036420162550797,0.8711420162550797,0.9520000000000001,0.28049999999999997,17.08121600500156
QLD,CAPEX_H2_PRICE_grid,1400,5.0,51,5.5,75000,100,51180,105120,48.68721461187215,5118000,100352941.1764706,100352.94117647059,174796173.0,95536000.0,28149000.0,298481173.0,2.974314150644783,1.741814150644783,0.952,0.28049999999999997,34.15321864009379
QLD,CAPEX_H2_PRICE_grid,1400,6.0,51,5.5,75000,100,66910,105120,63.65106544901066,6691000,131196078.43137255,131196.07843137256,307651986.0,124898666.66666667,36800500.0,469351152.6666667,3.577478521297265,2.3449785212972647,0.952,0.28049999999999997,45.97997100582872
VIC,EFFICIENCY_only,950,5.0,45,4.5,80000,100,76687,105120,72.95186453576864,7668700,170415555.55555555,170415.55555555556,241761567.0,91065812.5,34509150.0,367336529.5,2.155534031517728,1.4186590315177279,0.534375,0.2025,31.525756255949503
VIC,EFFICIENCY_only,950,5.0,47,4.5,80000,100,73845,105120,70.24828767123287,7384500,157117021.27659574,157117.02127659574,215638798.0,87690937.5,33230250.0,336559985.5,2.1420975446543435,1.3724725446543435,0.558125,0.2115,29.201543503283904
VIC,EFFICIENCY_only,950,5.0,49,4.5,80000,100,71223,105120,67.75399543378995,7122300,145353061.2244898,145353.06122448982,192565247.0,84577312.5,32050350.0,309192909.5,2.1271853987475953,1.3248103987475954,0.5818749999999999,0.22049999999999997,27.036946913216237
VIC,EFFICIENCY_only,950,5.0,51,4.5,80000,100,68932,105120,65.57458143074581,6893200,135160784.3137255,135160.7843137255,173366865.0,81856750.0,31019400.0,286243015.0,2.117796344948645,1.2826713449486449,0.605625,0.22949999999999998,25.150418528404803
VIC,EFFICIENCY_only,950,5.0,53,4.5,80000,100,65574,105120,62.38013698630137,6557400,123724528.3018868,123724.52830188679,146570053.0,77869125.0,29508300.0,253947478.0,2.0525233071034252,1.184648307103425,0.629375,0.2385,22.35185485100802
QLD,EFFICIENCY_only,1050,5.2,45,5.5,75000,100,69512,105120,66.12633181126331,6951200,154471111.1111111,154471.1111111111,332327023.0,97316800.0,38231600.0,467875423.0,3.0288862405052366,2.1513862405052366,0.63,0.2475,47.8085831223386
QLD,EFFICIENCY_only,1050,5.2,47,5.5,75000,100,65366,105120,62.182267884322684,6536600,139076595.74468085,139076.59574468085,293393277.0,91512400.0,35951300.0,420856977.0,3.0260805187712267,2.1095805187712267,0.658,0.2585,44.884691888749494
QLD,EFFICIENCY_only,1050,5.2,49,5.5,75000,100,60248,105120,57.31354642313546,6024800,122955102.04081632,122955.10204081632,248000693.0,84347200.0,33136400.0,365484293.0,2.9725020510224405,2.0170020510224407,0.686,0.2695,41.16330716372328
QLD,EFFICIENCY_only,1050,5.2,51,5.5,75000,100,56720,105120,53.95738203957382,5672000,111215686.2745098,111215.6862745098,218108449.0,79408000.0,31196000.0,328712449.0,2.955630271332863,1.961130271332863,0.714,0.2805,38.45353473201693
QLD,EFFICIENCY_only,1050,5.2,53,5.5,75000,100,53980,105120,51.350837138508375,5398000,101849056.60377358,101849.05660377358,196092818.0,75572000.0,29689000.0,301353818.0,2.9588277795479807,1.9253277795479808,0.742,0.29150000000000004,36.32693923675435
VIC,LIFETIME_HOURS_only,950,5.0,49,4.5,60000,100,68941,105120,65.58314307458143,6894100,140695918.36734694,140695.91836734695,173440384.0,109156583.33333334,31023450.0,313620417.3333334,2.2290654979378504,1.2327321646045168,0.7758333333333334,0.2205,25.157799277643203
VIC,LIFETIME_HOURS_only,950,5.0,49,4.5,70000,100,70165,105120,66.74752663622526,7016500,143193877.5510204,143193.8775510204,183583488.0,95223928.57142857,31574250.0,310381666.57142854,2.1675624117437464,1.282062411743747,0.6649999999999999,0.2205,26.164539015178505
VIC,LIFETIME_HOURS_only,950,5.0,49,4.5,80000,100,71223,105120,67.75399543378995,7122300,145353061.2244898,145353.06122448982,192565247.0,84577312.5,32050350.0,309192909.5,2.1271853987475953,1.3248103987475954,0.5818749999999999,0.22049999999999997,27.036946913216237
VIC,LIFETIME_HOURS_only,950,5.0,49,4.5,90000,100,71954,105120,68.44939117199391,7195400,146844897.95918366,146844.89795918367,198877443.0,75951444.44444445,32379300.0,307208187.4444444,2.092058980011921,1.354336757789699,0.5172222222222222,0.22050000000000003,27.639525669177527
VIC,LIFETIME_HOURS_only,950,5.0,49,4.5,100000,100,72527,105120,68.99448249619482,7252700,148014285.7142857,148014.2857142857,203890995.0,68900650.0,32637150.0,305428795.0,2.0635088939291575,1.3775088939291575,0.4655,0.22050000000000003,28.112426406717496
QLD,LIFETIME_HOURS_only,1050,5.2,51,5.5,60000,100,54520,105120,51.86453576864536,5452000,106901960.78431372,106901.96078431372,200346216.0,95410000.0,29986000.0,325742216.0,3.0471117050623624,1.8741117050623626,0.8925000000000001,0.2805,36.747288334556124
QLD,LIFETIME_HOURS_only,1050,5.2,51,5.5,70000,100,56101,105120,53.36853120243531,5610100,110001960.78431372,110001.96078431372,213034243.0,84151500.0,30855550.0,328041293.0,2.9821404151441153,1.9366404151441152,0.765,0.2805,37.973341473414024
QLD,LIFETIME_HOURS_only,1050,5.2,51,5.5,80000,100,57385,105120,54.58999238964992,5738500,112519607.84313725,112519.60784313724,223624116.0,75317812.5,31561750.0,330503678.5,2.937298528099678,1.9874235280996777,0.669375,0.2805,38.96908878626819
QLD,LIFETIME_HOURS_only,1050,5.2,51,5.5,90000,100,58421,105120,55.57553272450533,5842100,114550980.39215687,114550.98039215687,232335558.0,68157833.33333333,32131550.0,332624941.3333333,2.903728455178788,2.0282284551787884,0.595,0.28049999999999997,39.76918539566251
QLD,LIFETIME_HOURS_only,1050,5.2,51,5.5,100000,100,59595,105120,56.692351598173516,5959500,116852941.1764706,116852.94117647059,242366835.0,62574750.0,32777250.0,337718835.0,2.8901183966775736,2.0741183966775734,0.5355,0.28049999999999997,40.66898817014851
